Company,Website,Priority Score,Industry,Stage,Decision Maker,Title,LinkedIn Company,MCP Server,Known Issues,Outreach Angle,Email Template Key
Runlayer,https://runlayer.com,10,MCP Security,Seed $11M (Khosla + Felicis),Andrew Berman,CEO & Co-founder,https://linkedin.com/company/runlayer,Enterprise MCP Security Gateway,None known,Partnership — complementary security+reliability stack,runlayer
Manufact,https://manufact.dev,10,MCP Cloud Infrastructure,Seed $6.3M (Peak XV + YC S25),Luigi Pederzani,Co-CEO & Co-founder,https://linkedin.com/company/mcp-use,MCP deploy + SDK platform (7M+ downloads),None known,Native CI integration — post-deploy audit,manufact
Alpic,https://alpic.ai,9,MCP Cloud Infrastructure,Pre-seed €5M (Partech),Pierre-Louis Theron,CEO & Co-founder,https://linkedin.com/in/theronpl,First MCP-native cloud platform,None known,Platform trust layer — reliability score per deployment,alpic
Atlassian,https://atlassian.com,9,Enterprise DevTools,Public (NASDAQ: TEAM),Head of Rovo AI / VP AI Platform,,https://linkedin.com/company/atlassian,atlassian-mcp-server (Jira + Confluence),"127 open issues, timeout bugs, SSE 400 errors, prompt injection CVE",CI gate for enterprise MCP reliability,atlassian
Neon,https://neon.tech,9,Serverless Database,Series B $46.7M (Databricks Ventures),Nikita Shamgunov,CEO & Co-founder,https://linkedin.com/company/neon-inc,neondatabase/mcp-server-neon (20 tools + OAuth),None publicized,Pre-release audit gate + community trust signal,neon
Composio,https://composio.dev,9,MCP Integration Platform,Series A ~$10M+,Soham Ganatra,CEO & Co-founder,https://linkedin.com/company/composiohq,500+ managed MCP integrations,"Pipedream competitors call connectors unreliable; reliability is differentiator claim",Quality badge on connector catalog,composio
Klavis AI,https://klavis.ai,8,MCP Infrastructure,YC X25 (pre-seed),Zihao Lin / Xiangkai Zeng,Co-founders,https://linkedin.com/company/klavis-ai,50+ MCP servers (Strata),None publicized,Reliability-verified tier as product differentiator,klavis
Supabase,https://supabase.com,8,Open-source BaaS,Series B $80M,Greg (Head of DevEx),,https://linkedin.com/company/supabase,supabase/mcp-server-supabase (OAuth + edge functions),None publicized,Community trust signal — publish score to 70k GitHub star community,supabase
Linear,https://linear.app,8,Project Management DevTools,Series C $52M,Karri Saarinen,CEO & Co-founder,https://linkedin.com/company/linear-app,linear/mcp (remote — Cloudflare hosted),None publicized,CI gate before pushing MCP updates to thousands of Cursor users,linear
Notion,https://notion.so,7,Productivity,Unicorn $343M,Head of API Platform,,https://linkedin.com/company/notion,makenotion/notion-mcp-server,"127 open issues, auth 401 errors, double-stringified params, breaking API changes",Fix-and-prove narrative using Vouqis score,notion
PlanetScale,https://planetscale.com,7,Serverless Database,Series C $105M,Head of Developer Experience,,https://linkedin.com/company/planetscale,PlanetScale MCP with OAuth (Jan 2026),Just launched — edge cases likely,Baseline audit for newly launched server,planetscale
Cloudflare,https://cloudflare.com,7,Cloud Infrastructure,Public (NYSE: NET),Head of Developer Platform / Workers,,https://linkedin.com/company/cloudflare,Cloudflare Workers MCP + remote hosting,None publicized,Reliability layer for MCP server hosting customers,cloudflare
Stripe,https://stripe.com,7,Payments Infrastructure,Public,Head of Developer Experience,,https://linkedin.com/company/stripe,stripe/agent-toolkit MCP server,None publicized,Financial incident prevention angle — payment tool failures = real money,stripe
HubSpot,https://hubspot.com,7,CRM / Marketing Automation,Public (NYSE: HUBS),Head of Platform Integrations,,https://linkedin.com/company/hubspot,HubSpot MCP server,None publicized,Enterprise SLA + compliance documentation angle,hubspot
Pipedream,https://pipedream.com,7,Workflow Automation,Series B $20M,Dylan Pierce,CEO,https://linkedin.com/company/pipedream,mcp.pipedream.com (2400+ APIs),"Competitors actively call out connector reliability as weakness",Flip the narrative — publish trust scores across catalog,pipedream
Cursor,https://cursor.com,7,AI IDE,Series B $100M+ (a16z),Michael Truell,CEO & Co-founder,https://linkedin.com/company/anysphere-cursor,MCP client (primary consumer),"CVE-2025-54136, MCPoison trust bypass, MCP server score avg 34/100",Native MCP trust scores at install time = user protection,cursor
Salesforce,https://salesforce.com,6,CRM / Enterprise SaaS,Public (NYSE: CRM),VP AI Platform / Agentforce team,,https://linkedin.com/company/salesforce,Salesforce MCP (beta),In beta — high failure surface,Enterprise reliability certification before Agentforce GA,salesforce
Neo4j,https://neo4j.com,6,Graph Database,Late-stage $325M,Head of AI Developer Experience,,https://linkedin.com/company/neo4j,Neo4j MCP server (Oct 2025),Just launched,Reliability stamp for high-visibility AI investment,neo4j
dbt Labs,https://getdbt.com,6,Data Engineering,Series D $222M,Head of AI / Head of Platform Engineering,,https://linkedin.com/company/dbt-labs,Uses Runlayer for MCP security,None — but MCP is strategic,Runlayer customer → natural Vouqis upsell for reliability layer,dbt
Windsurf / Codeium,https://codeium.com,5,AI IDE,Series C $150M,Head of Integrations,,https://linkedin.com/company/codeium,MCP client with built-in browser + 1-click install,None,Distribution partnership — show trust scores at 1-click install,windsurf
